Genome Cluster ID,Number of Non-redundant Genomes
Cluster_1721,6
Cluster_1722,2
Cluster_1723,6
Cluster_1724,5
Cluster_1725,1
Cluster_1726,1
Cluster_1727,1
Cluster_1728,1
Cluster_1729,1
Cluster_173,137
Cluster_1730,1
Cluster_1731,2
Cluster_1732,1
Cluster_1733,1
Cluster_1734,151
Cluster_1735,1
Cluster_1736,4
Cluster_1737,2
Cluster_1738,14
Cluster_1739,1
Cluster_174,2
Cluster_1740,3
Cluster_1741,3
Cluster_1742,3
Cluster_1743,2
Cluster_1744,7
Cluster_1745,1
Cluster_1746,3
Cluster_1747,3
Cluster_1748,8
Cluster_1749,5
Cluster_175,6
Cluster_1750,1
Cluster_1751,1
Cluster_1752,5
Cluster_1753,1
Cluster_1754,2
Cluster_1755,552
Cluster_1756,3
Cluster_1757,3
Cluster_1758,1
Cluster_1759,1
Cluster_176,1
Cluster_1760,1
Cluster_1761,1
Cluster_1762,448
Cluster_1763,12
Cluster_1764,4
Cluster_1765,95
Cluster_1766,121
Cluster_1767,5
Cluster_1768,1
Cluster_1769,4
Cluster_177,1
Cluster_1770,2
Cluster_1771,2
Cluster_1772,2
Cluster_1773,2
Cluster_1774,2
Cluster_1775,2
Cluster_1776,1
Cluster_1777,2
Cluster_1778,2
Cluster_1779,2
Cluster_178,47
Cluster_1780,2
Cluster_1781,1
Cluster_1782,2
Cluster_1783,5
Cluster_1784,40
Cluster_1785,3
Cluster_1786,1
Cluster_1787,2
Cluster_1788,2
Cluster_1789,1
Cluster_179,2
Cluster_1790,3
Cluster_1791,11
Cluster_1792,168
Cluster_1793,2
Cluster_1794,1
Cluster_1795,2
Cluster_1796,1
Cluster_1797,2
Cluster_1798,3
Cluster_1799,21
Cluster_18,2
Cluster_180,6
Cluster_1800,2
Cluster_1801,1
Cluster_1802,1
Cluster_1803,1
Cluster_1804,1
Cluster_1805,9
Cluster_1806,26
Cluster_1807,32
Cluster_1808,3
Cluster_1809,67
Cluster_181,32
Cluster_1810,81
Cluster_1811,3
Cluster_1812,312
Cluster_1813,120
Cluster_1814,25
Cluster_1815,1
Cluster_1816,5
Cluster_1817,5
Cluster_1818,32
Cluster_1819,9
Cluster_182,1
Cluster_1820,62
Cluster_1821,1
Cluster_1822,1
Cluster_1823,1502
Cluster_1824,2
Cluster_1825,1
Cluster_1826,1
Cluster_1827,1
Cluster_1828,1
Cluster_1829,4
Cluster_183,3
Cluster_1830,3
Cluster_1831,3
Cluster_1832,2
Cluster_1833,2
Cluster_1834,1
Cluster_1835,7
Cluster_1836,11
Cluster_1837,1
Cluster_1838,5
Cluster_1839,8
Cluster_184,59
Cluster_1840,1
Cluster_1841,2
Cluster_1842,461
Cluster_1843,110
Cluster_1844,11
Cluster_1845,542
Cluster_1846,1
Cluster_1847,1
Cluster_1848,1
Cluster_1849,1
Cluster_185,11
Cluster_1850,8
Cluster_1851,1
Cluster_1852,1
Cluster_1853,3
Cluster_1854,8
Cluster_1855,3
Cluster_1856,3
Cluster_1857,12
Cluster_1858,12
Cluster_1859,1
Cluster_186,2
Cluster_1860,1
Cluster_1861,5
Cluster_1862,2
Cluster_1863,1
Cluster_1864,17
Cluster_1865,9
Cluster_1866,1
Cluster_1867,1
Cluster_1868,1
Cluster_1869,1
Cluster_187,9
Cluster_1870,1
Cluster_1871,1
Cluster_1872,1
Cluster_1873,1
Cluster_1874,1
Cluster_1875,1
Cluster_1876,1
Cluster_1877,1
Cluster_1878,1
Cluster_1879,3
Cluster_188,4
Cluster_1880,1
Cluster_1881,2
Cluster_1882,1
Cluster_1883,2
Cluster_1884,18
Cluster_1885,7
Cluster_1886,2
Cluster_1887,2
Cluster_1888,51
Cluster_1889,5
Cluster_189,47
Cluster_1890,6
Cluster_1891,5
Cluster_1892,1
Cluster_1893,38
Cluster_1894,67
Cluster_1895,1
Cluster_1896,1
Cluster_1897,1
Cluster_1898,1
Cluster_1899,2
Cluster_19,422
Cluster_190,15
Cluster_1900,2
Cluster_1901,2
Cluster_1902,4
Cluster_1903,35
Cluster_1904,2
Cluster_1905,1
Cluster_1906,2
Cluster_1907,6
Cluster_1908,2
Cluster_1909,1
Cluster_191,11
Cluster_1910,2
Cluster_1911,6
Cluster_1912,2
Cluster_1913,13
Cluster_1914,4
Cluster_1915,1
Cluster_1916,1
Cluster_1917,48
Cluster_1918,4
Cluster_1919,1
Cluster_192,101
Cluster_1920,1
Cluster_1921,1
Cluster_1922,1
Cluster_1923,1
Cluster_1924,2
Cluster_1925,15
Cluster_1926,2
Cluster_1927,7
Cluster_1928,21
Cluster_1929,2
Cluster_193,87
Cluster_1930,4
Cluster_1931,1
Cluster_1932,1
Cluster_1933,8
Cluster_1934,1
Cluster_1935,1
Cluster_1936,1
Cluster_1937,5
Cluster_1938,4
Cluster_1939,33
Cluster_194,7
Cluster_1940,3
Cluster_1941,1
Cluster_1942,1
Cluster_1943,2
Cluster_1944,1
Cluster_1945,1
Cluster_1946,4
Cluster_1947,3
Cluster_1948,1
Cluster_1949,8
Cluster_195,1
Cluster_1950,1
Cluster_1951,1
Cluster_1952,252
Cluster_1953,2
Cluster_1954,36
Cluster_1955,8
Cluster_1956,3
Cluster_1957,1
Cluster_1958,1
Cluster_1959,1
Cluster_196,3
Cluster_1960,2
Cluster_1961,3
Cluster_1962,1
Cluster_1963,1
Cluster_1964,1
Cluster_1965,1
Cluster_1966,1
Cluster_1967,2
Cluster_1968,1
Cluster_1969,2
Cluster_197,6
Cluster_1970,3
Cluster_1971,1
Cluster_1972,2
Cluster_1973,1
Cluster_1974,14
Cluster_1975,1
Cluster_1976,3
Cluster_1977,25
Cluster_1978,4
Cluster_1979,1
Cluster_198,1
Cluster_1980,3
Cluster_1981,3
Cluster_1982,7
Cluster_1983,44
Cluster_1984,92
Cluster_1985,1
Cluster_1986,2
Cluster_1987,1
Cluster_1988,1
Cluster_1989,1
Cluster_199,1
Cluster_1990,1
Cluster_1991,8
Cluster_1992,6
Cluster_1993,3
Cluster_1994,1
Cluster_1995,1
Cluster_1996,1
Cluster_1997,3
Cluster_1998,3
Cluster_1999,3
Cluster_2,2
Cluster_20,2
Cluster_200,2
Cluster_2000,6
Cluster_2001,7
Cluster_2002,1
Cluster_2003,31
Cluster_2004,1
Cluster_2005,30
Cluster_2006,1
Cluster_2007,1
Cluster_2008,12
Cluster_2009,1
Cluster_201,1
Cluster_2010,3
Cluster_2011,9
Cluster_2012,1
Cluster_2013,1
Cluster_2014,146
Cluster_2015,4
Cluster_2016,1
Cluster_2017,1
Cluster_2018,1
Cluster_2019,2
Cluster_202,33
Cluster_2020,3
Cluster_2021,5
Cluster_2022,2
Cluster_2023,1
Cluster_2024,1
Cluster_2025,2
Cluster_2026,1
Cluster_2027,1
Cluster_2028,4
Cluster_2029,2
Cluster_203,184
Cluster_2030,1
Cluster_2031,2
Cluster_2032,2
Cluster_2033,5
Cluster_2034,5
Cluster_2035,1
Cluster_2036,1
Cluster_2037,9
Cluster_2038,51
Cluster_2039,161
Cluster_204,360
Cluster_2040,336
Cluster_2041,183
Cluster_2042,16
Cluster_2043,49
Cluster_2044,55
Cluster_2045,2
Cluster_2046,3
Cluster_2047,1
Cluster_2048,39
Cluster_2049,10
Cluster_205,1
Cluster_2050,5
Cluster_2051,1
Cluster_2052,1
Cluster_2053,1
Cluster_2054,1
Cluster_2055,6
Cluster_2056,17
Cluster_2057,1
Cluster_2058,2
Cluster_2059,4
Cluster_206,1
Cluster_2060,38
Cluster_2061,2
Cluster_2062,12
Cluster_2063,14
Cluster_2064,3
Cluster_2065,1
Cluster_2066,2
Cluster_2067,1
Cluster_2068,1012
Cluster_2069,2
Cluster_207,7
Cluster_2070,2
Cluster_2071,692
Cluster_2072,126
Cluster_2073,3
Cluster_2074,17
Cluster_2075,40
Cluster_2076,4
Cluster_2077,7
Cluster_2078,1
Cluster_2079,2
Cluster_208,1
Cluster_2080,13
Cluster_2081,3
Cluster_2082,2
Cluster_2083,4
Cluster_2084,70
Cluster_2085,1
Cluster_2086,1
Cluster_2087,43
Cluster_2088,2
Cluster_2089,2
Cluster_209,31
Cluster_2090,1
Cluster_2091,2
Cluster_2092,1
Cluster_2093,1
Cluster_2094,11
Cluster_2095,1
Cluster_2096,5
Cluster_2097,3
Cluster_2098,8
Cluster_2099,2
Cluster_21,166
Cluster_210,21
Cluster_2100,1
Cluster_2101,2
Cluster_2102,1
Cluster_2103,33
Cluster_2104,34
Cluster_2105,6
Cluster_2106,1
Cluster_2107,1
Cluster_2108,1
Cluster_2109,3
Cluster_211,1
Cluster_2110,1
Cluster_2111,1
Cluster_2112,1
Cluster_2113,8
Cluster_2114,1
Cluster_2115,22
Cluster_2116,1
Cluster_2117,1
Cluster_2118,2
Cluster_2119,1
Cluster_212,2278
Cluster_2120,1
Cluster_2121,2
Cluster_2122,3
Cluster_2123,2
Cluster_2124,1
Cluster_2125,1
Cluster_2126,1
Cluster_2127,1
Cluster_2128,2
Cluster_2129,1
Cluster_213,1
Cluster_2130,1
Cluster_2131,2
Cluster_2132,4
Cluster_2133,43
Cluster_2134,25
Cluster_2135,1
Cluster_2136,1
